===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-30 00:11:12
count workspace : /home/jeremias/SGIColegio
total files : 426
total code lines : 195112
total comment lines : 12327
total blank lines : 14254

.editorconfig, code is 11, comment is 1, blank is 2.
client/src/assets/vendor/jquery-validation/localization/messages_ko.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_lt.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_lt.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_lv.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_lv.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_mk.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_mk.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_my.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_my.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_nl.js, code is 39, comment is 5, blank is 2.
client/src/assets/vendor/jquery-validation/localization/messages_nl.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_no.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_no.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_pl.js, code is 33, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_pl.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_pt_BR.js, code is 81, comment is 7, blank is 3.
